woman	mujer
man	hombre
child	niño
wife	esposa
husband	esposo
mother	madre
father	padre
animal	animal
fish	pez
bird	pájaro
dog	perro
louse	piojo
snake	serpiente
worm	gusano
tree	árbol
forest	bosque
stick	palo
fruit	fruta
seed	semilla
leaf	hoja
root	raíz
bark	corteza
flower	flor
grass	hierba
rope	cuerda
skin	piel
meat	carne
blood	sangre
bone	hueso
fat	grasa
egg	huevo
horn	cuerno
tail	cola
feather	pluma
hair	pelo
head	cabeza
ear	oreja
eye	ojo
nose	nariz
mouth	boca
tooth	diente
tongue	lengua
fingernail	uña
foot	pie
leg	pierna
knee	rodilla
hand	mano
wing	ala
belly	barriga
neck	cuello
back	espalda
breast	pecho
heart	corazón
liver	hígado
sun	sol
moon	luna
star	estrella
water	agua
rain	lluvia
river	río
lake	lago
sea	mar
salt	sal
stone	piedra
sand	arena
dust	polvo
earth	tierra
cloud	nube
fog	niebla
sky	cielo
wind	viento
snow	nieve
ice	hielo
smoke	humo
fire	fuego
ash	cenizas
road	camino
mountain	montaña
night	noche
day	día
year	año
name	nombre
right	derecha
left	izquierda
because	porque
two	dos
three	tres
four	cuatro
five	cinco
six	seis
seven	siete
eight	ocho
nine	nueve
ten	diez
eleven	once
twelve	doce
thirteen	trece
fourteen	catorce
fifteen	quince
sixteen	dieciséis
seventeen	diecisiete
eighteen	dieciocho
nineteen	diecinueve
twenty	veinte
